Review Date,Country of Bean Origin,Cocoa Percent,Rating
2019,Madagascar,0.76,3.75
2019,Dominican Republic,0.76,3.5
2019,Tanzania,0.76,3.25
2021,India,0.68,3.5
2021,Uganda,0.8,3.25
2021,Fiji,0.68,3.0
2021,Venezuela,0.72,3.0
2024,Venezuela,0.7,2.5
2022,Venezuela,0.78,3.0
2022,Venezuela,0.78,2.75
2023,Vietnam,0.7,2.5
2024,Tanzania,0.65,3.25
2024,India,0.7,3.0
2024,Peru,0.65,3.0
2024,Dominican Republic,0.7,3.0
2012,Peru,0.63,3.75
2012,Bolivia,0.7,3.5
2013,Venezuela,0.7,4.0
2013,Peru,0.63,4.0
2013,Ecuador,0.7,3.75
2013,Peru,0.7,3.5
2013,Brazil,0.7,3.25
2013,Papua New Guinea,0.7,3.25
2013,Peru,0.7,3.25
2013,Madagascar,0.7,3.0
2013,Burma,0.7,3.0
2013,Panama,0.7,2.75
2013,Colombia,0.7,2.75
2014,Peru,0.7,4.0
2014,Venezuela,0.7,3.75
2014,Cuba,0.7,3.5
2014,Venezuela,0.7,3.5
2014,Venezuela,0.7,2.75
2015,Togo,0.7,3.5
2015,Peru,0.7,3.5
2015,Togo,0.7,3.0
2015,Togo,0.7,2.75
2016,Sao Tome,0.63,3.75
2018,Peru,0.63,3.75
2018,Venezuela,0.7,3.5
2021,Mexico,0.7,4.0
2022,Indonesia,0.7,3.75
2022,Peru,0.7,3.5
2022,Bolivia,0.7,2.75
2024,Vietnam,0.7,3.0
2015,Peru,0.7,3.75
2015,Peru,0.7,3.75
2020,Peru,0.7,3.5
2020,Mexico,0.74,3.25
2011,Fiji,0.88,3.5
2011,Fiji,0.72,3.5
2011,Fiji,0.8,3.25
2011,Fiji,0.6,2.75
2019,Vanuatu,0.7,3.0
2019,Vanuatu,0.7,2.75
2019,Vanuatu,0.7,2.75
2019,Vanuatu,0.7,2.5
2009,Ecuador,0.7,3.0
2009,Ecuador,0.55,2.75
2009,Mexico,0.7,3.0
2010,Madagascar,0.75,2.75
2010,Brazil,0.75,2.75
2011,Indonesia,0.75,3.75
2013,Venezuela,0.75,2.5
2013,Peru,0.75,2.5
2014,Madagascar,0.75,3.0
2014,Trinidad,0.65,2.75
2014,Vietnam,0.75,2.75
2017,Mexico,0.75,3.5
2017,Ecuador,0.7,3.5
